destination,key,heroSource,suspicion,httpStatus,width,height,cache,reasons,url
"Bruxelles",brussels,wikidata-commons,50,429,4000,6016,hit,"portrait/square","https://upload.wikimedia.org/wikipedia/commons/a/a8/St_Mary%27s_Church%2C_Brussels.jpg"
"Turin",turin,wikidata-commons,50,429,2000,3079,hit,"portrait/square","https://upload.wikimedia.org/wikipedia/commons/a/a9/Turin_Montage.png"
"Istanbul",istanbul,wikidata-commons,50,200,1000,1400,hit,"portrait/square","https://upload.wikimedia.org/wikipedia/commons/b/b4/Istanbul_Montage_2016.png"
"Stockholm",stockholm,wikidata-commons,35,200,700,492,hit,"width<1000px","https://upload.wikimedia.org/wikipedia/commons/7/7b/Stockholm_gamlastan_etc.jpg"
"Palermo",palermo,commons-category,35,429,5040,3360,hit,"photo brute Panoramio","https://upload.wikimedia.org/wikipedia/commons/a/ad/Av._Sarmiento_-_panoramio_%281%29.jpg"
"Abu Dhabi",abu dhabi,wikidata-commons,35,429,1280,738,hit,"photo brute Panoramio","https://upload.wikimedia.org/wikipedia/commons/9/95/%D0%90%D0%B1%D1%83-%D0%94%D0%B0%D0%B1%D0%B8_%28Abu_Dhabi%29_-_panoramio_%281%29.jpg"
"Santorini, Greece",santorini|greece,commons-category,35,429,3264,1836,hit,"photo brute Panoramio","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Santorini%2C_Greece_-_panoramio_%2818%29.jpg/1280px-Santorini%2C_Greece_-_panoramio_%2818%29.jpg"
"Split, Croatia",split|croatia,commons-category,35,200,2592,1944,hit,"photo brute Panoramio","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/1512_2010_-_panoramio.jpg/1280px-1512_2010_-_panoramio.jpg"
"Malta",malta,wikidata-commons,35,429,5000,2500,hit,"photo brute Panoramio","https://upload.wikimedia.org/wikipedia/commons/2/29/Malta%2C_2010_-_panoramio_-_Bengt_Nyman_%2823%29.jpg"
"Guangzhou, China",guangzhou|china,commons-category,35,429,2048,1536,hit,"photo brute Panoramio","https://upload.wikimedia.org/wikipedia/commons/4/49/-_panoramio_%28778%29.jpg"
"Paris, France",paris|france,wikidata-commons,0,400,1600,,hit,"","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg/1600px-La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg"
"Lyon, France",lyon|france,wikidata-commons,0,200,7798,2800,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/6/6c/01._Panorama_de_Lyon_pris_depuis_le_toit_de_la_Basilique_de_Fourvi%C3%A8re.jpg"
